UserID,priority
2,1
18,1
19,1
22,1
25,1
34,1
35,1
39,1
43,1
53,1
62,1
71,1
73,1
79,1
85,1
96,1
98,1
100,1
111,1
112,1
114,1
116,1
119,1
121,1
124,1
130,1
135,1
138,1
143,1
153,1
164,1
169,1
170,1
174,1
176,1
177,1
185,1
189,1
190,1
191,1
193,1
195,1
205,1
209,1
210,1
211,1
215,1
216,1
219,1
221,1
222,1
223,1
225,1
226,1
234,1
237,1
238,1
240,1
241,1
247,1
267,1
268,1
271,1
272,1
273,1
281,1
282,1
285,1
286,1
291,1
304,1
307,1
312,1
313,1
319,1
322,1
323,1
326,1
332,1
333,1
336,1
337,1
338,1
341,1
343,1
346,1
347,1
350,1
351,1
354,1
356,1
358,1
360,1
366,1
375,1
376,1
379,1
384,1
395,1
401,1
402,1
408,1
412,1
413,1
414,1
418,1
425,1
428,1
429,1
430,1
443,1
444,1
445,1
446,1
460,1
462,1
468,1
469,1
472,1
475,1
476,1
480,1
482,1
483,1
486,1
490,1
491,1
494,1
497,1
502,1
503,1
504,1
506,1
515,1
520,1
523,1
525,1
526,1
527,1
532,1
533,1
534,1
539,1
542,1
546,1
551,1
552,1
564,1
570,1
573,1
574,1
576,1
578,1
582,1
583,1
584,1
585,1
588,1
590,1
591,1
595,1
598,1
601,1
603,1
605,1
606,1
607,1
0,2
2,2
18,2
19,2
22,2
34,2
35,2
39,2
43,2
53,2
62,2
71,2
73,2
79,2
85,2
96,2
98,2
100,2
111,2
112,2
114,2
116,2
119,2
121,2
124,2
130,2
135,2
138,2
143,2
153,2
169,2
170,2
174,2
176,2
177,2
185,2
189,2
190,2
191,2
193,2
195,2
205,2
209,2
210,2
211,2
215,2
216,2
219,2
221,2
222,2
223,2
226,2
234,2
237,2
238,2
241,2
247,2
267,2
271,2
272,2
273,2
281,2
282,2
285,2
286,2
291,2
304,2
307,2
312,2
313,2
319,2
322,2
323,2
332,2
333,2
337,2
341,2
343,2
346,2
347,2
350,2
351,2
354,2
356,2
360,2
375,2
376,2
379,2
384,2
395,2
401,2
402,2
408,2
412,2
413,2
418,2
425,2
428,2
429,2
430,2
443,2
444,2
446,2
460,2
468,2
469,2
472,2
475,2
476,2
480,2
482,2
483,2
486,2
490,2
491,2
494,2
497,2
502,2
503,2
504,2
506,2
515,2
520,2
523,2
525,2
526,2
527,2
532,2
533,2
534,2
539,2
542,2
546,2
551,2
552,2
564,2
570,2
573,2
574,2
576,2
578,2
582,2
583,2
584,2
585,2
588,2
590,2
591,2
595,2
598,2
601,2
603,2
605,2
607,2
615,2
618,2
620,2
626,2
629,2
635,2
636,2
640,2
648,2
657,2
661,2
675,2
677,2
678,2
680,2
682,2
686,2
687,2
688,2
692,2
695,2
698,2
708,2
714,2
716,2
726,2
728,2
730,2
734,2
735,2
737,2
753,2
756,2
763,2
776,2
783,2
786,2
798,2
802,2
807,2
819,2
825,2
830,2
831,2
836,2
842,2
854,2
865,2
869,2
872,2
880,2
898,2
900,2
906,2
908,2
918,2
930,2
946,2
947,2
948,2
956,2
970,2
976,2
984,2
993,2
1005,2
1010,2
1011,2
1014,2
1015,2
1045,2
1052,2
1069,2
1071,2
1075,2
1080,2
1108,2
1114,2
1120,2
1121,2
1129,2
1146,2
1150,2
1154,2
1158,2
1167,2
1171,2
1174,2
1176,2
1186,2
1192,2
1198,2
1201,2
1203,2
1236,2
1247,2
1251,2
1265,2
1266,2
1275,2
1282,2
1286,2
1298,2
1307,2
1323,2
1324,2
1326,2
1336,2
1338,2
1346,2
1351,2
1353,2
1359,2
1365,2
1366,2
1384,2
1394,2
1395,2
1403,2
1404,2
1405,2
1406,2
1412,2
1414,2
1415,2
1416,2
1426,2
1430,2
1440,2
1441,2
1444,2
1455,2
1459,2
1461,2
1463,2
1474,2
1479,2
1488,2
1492,2
1497,2
1503,2
1508,2
1513,2
1516,2
1529,2
1542,2
1543,2
1546,2
1558,2
1568,2
1594,2
1603,2
1614,2
1619,2
1627,2
1638,2
1639,2
1642,2
1649,2
1651,2
1656,2
1660,2
1661,2
