Origin,OneHop,TwoHop,ThreeHop
,,2372,2002
,,2378,2003
,,2389,2027
,,2390,2028
,,2391,2040
,,2398,2049
,,2406,2050
,,2413,2051
,,2428,2053
,,2471,2056
,,2482,2059
,,2488,2067
,,2493,2073
,,2499,2082
,,2500,2088
,,2515,2091
,,2555,2100
,,2562,2105
,,2564,2123
,,2584,2132
,,2612,2139
,,2619,2144
,,2629,2159
,,2631,2160
,,2654,2181
,,2657,2182
,,2673,2184
,,2676,2185
,,2714,2200
,,2736,2204
,,2744,2208
,,2745,2211
,,2754,2240
,,2755,2241
,,2779,2242
,,2798,2251
,,2810,2252
,,2821,2255
,,2842,2273
,,2861,2274
,,2867,2280
,,2878,2281
,,2890,2283
,,2909,2285
,,2914,2290
,,2917,2297
,,2918,2305
,,2935,2308
,,2970,2312
,,2990,2319
,,3002,2320
,,3010,2331
,,3012,2341
,,3018,2344
,,3021,2355
,,3039,2356
,,3073,2357
,,3074,2360
,,3087,2361
,,3089,2363
,,3092,2365
,,3100,2366
,,3120,2372
,,3123,2378
,,3128,2389
,,3138,2390
,,3157,2391
,,3165,2398
,,3166,2406
,,3167,2413
,,3175,2428
,,3180,2439
,,3206,2462
,,3207,2471
,,3210,2476
,,3222,2482
,,3229,2485
,,3231,2486
,,3273,2488
,,3279,2489
,,3287,2493
,,3301,2499
,,3315,2500
,,3325,2515
,,3328,2523
,,3332,2541
,,3336,2545
,,3337,2555
,,3340,2562
,,3359,2564
,,3364,2583
,,3371,2584
,,3380,2596
,,3382,2605
,,3384,2612
,,3386,2619
,,3401,2624
,,3425,2629
,,3426,2631
,,3431,2638
,,3440,2643
,,3446,2652
,,3455,2654
,,3465,2657
,,3471,2661
,,3480,2673
,,3485,2676
,,3495,2693
,,3528,2697
,,3538,2702
,,3539,2714
,,3541,2736
,,3545,2741
,,3559,2744
,,3563,2745
,,3571,2754
,,3574,2755
,,3578,2758
,,3579,2761
,,3580,2779
,,3624,2798
,,3631,2800
,,3643,2807
,,3660,2810
,,3661,2821
,,3667,2822
,,3679,2823
,,3682,2824
,,3684,2842
,,3691,2861
,,3695,2867
,,3700,2878
,,3708,2890
,,3711,2909
,,3716,2914
,,3724,2917
,,3736,2918
,,3738,2930
,,3742,2932
,,3756,2935
,,3758,2941
,,3762,2960
,,3769,2963
,,3771,2969
,,3779,2970
,,3784,2971
,,3806,2984
,,3813,2990
,,3817,3002
,,3822,3010
,,3824,3012
,,3827,3014
,,3842,3018
,,3844,3021
,,3870,3024
,,3888,3039
,,3895,3052
,,3914,3072
,,3925,3073
,,3933,3074
,,3935,3085
,,3936,3087
,,3944,3089
,,3955,3092
,,3960,3100
,,3961,3103
,,3964,3113
,,3978,3117
,,3988,3120
,,3992,3121
,,3996,3123
,,3999,3128
,,4007,3129
,,4019,3138
,,4033,3157
,,4043,3165
,,4051,3166
,,4053,3167
,,4067,3175
,,4072,3180
,,4082,3184
,,4088,3199
,,4131,3205
,,4141,3206
,,4153,3207
,,4161,3209
,,4165,3210
,,4167,3221
,,4177,3222
,,4196,3227
,,4198,3229
,,4202,3231
,,4206,3245
,,4210,3272
,,4216,3273
,,4226,3279
,,4231,3287
,,4248,3293
,,4268,3301
,,4279,3315
,,4283,3325
,,4287,3328
,,4290,3332
,,4302,3335
,,4368,3336
,,4370,3337
,,4379,3340
,,4383,3342
,,4390,3349
,,4394,3359
,,4397,3364
,,4398,3371
,,4406,3380
,,4411,3382
,,4413,3384
,,4420,3386
,,4427,3395
,,4435,3396
,,4445,3400
,,4473,3401
,,4478,3417
,,4496,3425
,,4500,3426
,,4501,3431
,,4517,3439
,,4520,3440
,,4522,3446
,,4534,3455
,,4535,3462
,,4542,3465
,,4546,3470
,,4559,3471
,,4578,3480
,,4585,3485
,,4587,3495
,,4589,3499
,,4590,3528
,,4594,3538
,,4595,3539
,,4597,3541
,,4602,3545
,,4616,3559
,,4617,3563
,,4620,3571
,,4626,3574
,,4627,3578
,,4631,3579
,,4632,3580
,,4639,3587
,,4645,3592
,,4657,3609
,,4663,3624
,,4669,3631
,,4670,3643
,,4677,3660
,,4678,3661
,,4679,3666
,,4683,3667
,,4686,3679
,,4687,3682
,,4697,3684
,,4698,3691
,,4699,3693
,,4703,3695
,,4705,3697
,,4716,3700
,,4723,3708
,,4730,3711
,,4735,3716
,,4738,3724
,,4743,3736
,,4749,3738
,,4753,3742
,,4756,3756
,,4757,3758
,,4770,3762
,,4775,3769
,,4779,3771
,,4781,3779
,,4785,3784
,,4792,3806
,,4793,3813
,,4804,3816
,,4807,3817
,,4819,3822
,,4835,3824
,,4837,3827
,,4840,3842
,,4843,3844
,,4848,3870
,,4855,3888
,,4858,3895
,,4860,3901
,,4867,3914
,,4874,3925
,,4879,3927
,,4883,3933
,,4893,3935
,,4896,3936
,,4897,3944
,,4902,3955
,,4904,3960
,,4913,3961
,,4914,3964
,,4916,3969
,,4923,3978
,,4926,3988
,,4929,3992
,,4930,3996
,,4936,3999
,,4937,4007
,,4941,4019
,,4943,4033
,,4947,4043
,,4952,4051
,,4954,4053
,,4956,4067
,,4958,4072
,,4969,4082
,,4972,4088
,,4977,4129
,,4982,4131
,,4985,4141
,,4989,4149
,,4994,4153
,,5007,4161
,,5017,4165
,,5048,4167
,,5103,4174
,,5144,4177
,,5146,4187
,,5164,4196
,,5166,4198
,,5169,4202
,,5177,4206
,,5189,4210
,,5190,4216
,,5200,4226
,,5209,4231
,,5214,4232
,,5221,4234
,,5222,4241
,,5230,4248
,,5236,4268
,,5242,4278
,,5243,4279
,,5245,4283
,,5247,4286
,,5257,4287
,,5269,4290
,,5276,4302
,,5280,4368
,,5284,4370
,,5303,4379
,,5314,4383
,,5324,4390
,,5337,4394
,,5353,4395
,,5365,4397
,,5379,4398
,,5384,4406
,,5388,4411
,,5390,4413
,,5411,4420
,,5427,4427
,,5452,4435
,,5461,4445
,,5479,4466
,,5496,4473
,,5504,4475
,,5524,4478
,,5533,4489
,,5556,4492
,,5575,4494
,,5576,4496
,,5604,4500
,,5607,4501
,,5667,4517
,,5676,4520
,,5686,4522
,,5696,4534
,,5697,4535
,,5714,4542
,,5717,4546
,,5735,4559
,,5737,4578
,,5739,4585
,,5749,4587
,,5764,4589
,,5780,4590
,,5798,4594
,,5808,4595
,,5812,4597
,,5831,4602
,,5843,4616
,,5844,4617
,,5845,4620
,,5847,4626
,,5862,4627
,,5917,4631
,,5947,4632
,,5970,4639
,,5975,4641
,,5982,4645
,,5996,4657
,,6027,4660
,,6031,4663
,,6038,4669
,,6040,4670
